DV0	DV1	DV2	DV3	DV4	DV5	DV6	DV7	DV8	DV9	DV10	DV11
8.6315730515E-01	4.9024357915E-02	1.1743723223E-01	4.0240732302E-01	4.3047643481E-01	8.5281107062E-01	5.1249472312E-01	6.3787656057E-01	6.1938634398E-01	3.6966316892E-01	5.1521960083E-01	7.3833274269E-01
4.0230782104E-02	5.7691776683E-01	3.8108525464E-02	1.3266885634E-01	8.9239469125E-01	5.7514827302E-01	8.8747213240E-01	9.2581946191E-01	2.5667256080E-01	8.8406612841E-01	7.1944448457E-02	7.3079885896E-01
1.6941909398E-01	2.5814186891E-01	8.4906797909E-02	1.4277969805E-01	1.5875296867E-01	8.5911329478E-01	8.4375944656E-01	1.4475883493E-01	6.2595282869E-02	2.2124461388E-01	9.0205603446E-01	3.5183227859E-01
9.4336970155E-01	9.0814359251E-01	1.4460655678E-01	9.7186098477E-01	9.7217454393E-01	8.6260075286E-01	8.0095948116E-01	5.4178037954E-02	8.3403453798E-01	5.1790962325E-01	9.6465747470E-01	6.3778290542E-01
3.8785054528E-01	5.2020288918E-01	6.6190217041E-01	3.2499998701E-01	2.1705152847E-01	1.4149768954E-01	2.3047127965E-01	8.8552092862E-01	6.3859251652E-01	6.8472532688E-01	3.8067883512E-02	2.7932125128E-01
2.3631474178E-01	6.8175631747E-01	4.3431531571E-01	4.5971559359E-02	1.9473822441E-01	3.2974114467E-01	3.1280998351E-01	2.1090789767E-01	9.8263835030E-01	1.5247852534E-01	4.4368941800E-01	9.7761970494E-01
1.6374320445E-01	1.9371092185E-01	8.2299469026E-01	1.2727761611E-01	8.4818441034E-01	2.2816430906E-01	3.5696277288E-01	5.3916427808E-01	3.7749224335E-01	1.5657606919E-01	1.9492535639E-01	4.1720037313E-01
1.8496214154E-01	1.7324469993E-01	5.4302804999E-01	8.8306133900E-01	1.2590987466E-01	3.3769032392E-01	8.2942973154E-01	2.4233650806E-01	3.6817674093E-01	5.1140623943E-01	8.2345187441E-01	6.9967120473E-01
5.9915819227E-01	4.4343209378E-01	2.0082622270E-01	4.8786132936E-01	3.5779243832E-01	8.1504326236E-01	7.1369292561E-01	3.9520385495E-01	8.5637663877E-01	9.1297068138E-01	4.0890754269E-01	8.7824642915E-02
4.7019426115E-01	3.8138166990E-01	4.6681985430E-01	8.8440494569E-01	8.3030382520E-02	7.7482342146E-02	5.5598808528E-01	3.3216578176E-01	1.9222200202E-01	8.1174263537E-01	2.9560422704E-01	9.8088423294E-01
